15
30
-150,0
-50,100
-100,150
-100,100
-100,50
-50,50
0,0
0,-50
50,-50
-50,0
0,50
50,50
100,50
100,0
150,0
200,0
200,-50
200,50
200,100
0,150
100,150
100,100
150,100
150,150
150,200
250,0
250,50
300,50
250,100
200,150
2,11,5,20,10,1,4,14,26,6,22,25,15,9,17
1,25,3,20,28,26,29,19,24,23,30,17,9,8,15
32
1,5
5,4
4,3
4,2
2,6
6,10
3,20
10,7
20,11
7,11
8,7
8,9
11,12
13,12
20,21
21,24
24,30
25,24
23,24
23,19
19,29
21,22
22,13
13,14
14,15
30,19
19,18
18,16
16,17
18,27
27,28
16,26
